Date	CampaignId	CampaignName	AdGroupId	AdGroupName	AdId	Impressions	Clicks	Ctr	Cost	AvgCpc	Conversions	Revenue
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457358	свадьба под ключ	17085710554	51	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457358	свадьба под ключ	17085710555	33	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457358	свадьба под ключ	17085710556	41	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457359	банкет для свадьбы	17085710557	2	2	100.00	0.85	0.43	2	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457359	банкет для свадьбы	17085710558	10	1	10.00	0.90	0.90	1	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457359	банкет для свадьбы	17085710560	7	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457360	ресторан для свадьбы	17085710561	14	0	0.00	0.00	--	3	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457360	ресторан для свадьбы	17085710563	65	7	10.77	115.44	16.49	8	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457360	ресторан для свадьбы	17085710564	195	8	4.10	4.29	0.54	5	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457361	зал для свадьбы	17085710566	10	0	0.00	0.00	--	0	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457361	зал для свадьбы	17085710567	18	5	27.78	2.62	0.52	6	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457361	зал для свадьбы	17085710568	14	2	14.29	0.44	0.22	1	0.00
2026-09-05	700792084	Тест РСЯ Свадебные банкеты	5598457362	Ремаркетинг на просмотры страницы свадьбы	17085710569	80	5	6.25	6.25	1.25	7	0.00
2026-09-05	702195391	Тест РСЯ банкет (Похожие сайты)	5622970380	Банкеты	17201006655	14	7	50.00	7.60	1.09	0	0.00
2026-09-05	702195391	Тест РСЯ банкет (Похожие сайты)	5622970380	Банкеты	17201006656	12	3	25.00	5.81	1.94	0	0.00
2026-09-05	702195391	Тест РСЯ банкет (Похожие сайты)	5622970380	Банкеты	17201006657	251	7	2.79	57.10	8.16	0	0.00
